student_id,event_timestamp,cgpa,dsa_score,system_design_score,dbms_score,oop_proficiency,cloud_devops_score,web_dev_score,problem_solving_score,aptitude_score,communication_score,teamwork_score,github_projects_count,internship_duration_months,certifications_count,hackathons_participated,mock_interview_score,curriculum_updated_year,domain_code,technical_skill_mean,soft_skill_mean,industry_exposure_score,practical_experience_score,curriculum_age_years
CSE_0001,2026-01-01 00:00:00+00:00,6.87,46,7,53,26,33,69,54.72,54,36.0,80,12,3,3,3,86,2023,3,39.0,56.906666666666666,51.0,48.0,3
CSE_0002,2026-01-01 00:00:00+00:00,9.75,11,21,75,39,19,24,92.2,67,58.0,24,15,11,1,0,29,2021,4,31.5,58.06666666666666,61.5,67.08333333333333,5
CSE_0003,2026-01-01 00:00:00+00:00,8.66,61,43,45,62,49,94,77.48,78,48.0,58,12,1,4,8,29,2024,0,59.0,61.160000000000004,62.5,60.91666666666667,2
CSE_0004,2026-01-01 00:00:00+00:00,7.99,79,57,46,60,87,21,67.84,87,48.0,71,14,9,4,2,37,2023,1,58.333333333333336,62.28,71.5,66.41666666666666,3
CSE_0005,2026-01-01 00:00:00+00:00,5.78,87,35,14,35,9,65,64.76,88,62.0,68,13,7,4,3,57,2022,1,40.833333333333336,64.92,67.0,62.0,4
CSE_0006,2026-01-01 00:00:00+00:00,5.78,82,68,18,97,31,44,66.08,0,66.0,4,7,2,2,4,93,2018,0,56.666666666666664,45.35999999999999,37.0,37.166666666666664,8
CSE_0007,2026-01-01 00:00:00+00:00,5.29,7,76,25,92,51,68,92.0,6,84.0,98,10,6,4,6,40,2018,3,53.166666666666664,91.33333333333333,66.0,63.33333333333333,8
CSE_0008,2026-01-01 00:00:00+00:00,9.33,94,92,51,23,14,90,60.36,56,48.0,18,1,6,1,5,93,2021,4,60.666666666666664,42.12,33.5,38.58333333333333,5
CSE_0009,2026-01-01 00:00:00+00:00,8.01,20,30,92,23,100,88,44.8,94,84.0,22,7,11,2,4,56,2021,4,58.833333333333336,50.26666666666667,59.5,63.41666666666666,5
CSE_0010,2026-01-01 00:00:00+00:00,8.54,80,46,21,3,83,71,39.12,11,48.0,8,3,8,4,7,35,2021,1,50.666666666666664,31.706666666666667,59.5,56.58333333333333,5
CSE_0011,2026-01-01 00:00:00+00:00,5.1,86,54,20,66,2,0,67.84,4,24.0,93,9,5,2,0,63,2018,3,38.0,61.61333333333334,38.5,35.583333333333336,8
CSE_0012,2026-01-01 00:00:00+00:00,9.85,100,79,50,33,36,83,40.72,49,64.0,49,9,0,1,6,97,2022,3,63.5,51.24,37.0,43.5,4
CSE_0013,2026-01-01 00:00:00+00:00,9.16,79,61,37,56,39,43,63.52,41,68.0,15,14,7,4,5,15,2021,3,52.5,48.84,74.0,71.83333333333333,5
CSE_0014,2026-01-01 00:00:00+00:00,6.06,69,29,19,48,71,86,94.04,11,94.0,32,0,0,0,4,87,2018,4,53.666666666666664,73.34666666666668,10.0,15.0,8
CSE_0015,2026-01-01 00:00:00+00:00,5.91,71,54,28,86,39,95,51.64,17,78.0,1,12,2,5,6,77,2021,3,62.166666666666664,43.54666666666666,64.0,56.333333333333336,5
CSE_0016,2026-01-01 00:00:00+00:00,5.92,24,15,50,52,55,74,34.4,65,94.0,13,4,10,1,2,89,2021,0,45.0,47.13333333333333,42.0,46.0,5
